"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaickeaktuellaordinationer","hamtaickeaktuellaordinationer","","","",0,*,"","","","null {[]} {[]}
","HamtaIckeAktuellaOrdinationer — Response","Logisk modell för svaret i HamtaIckeAktuellaOrdinationer
(urn:riv:se.apotekensservice:or:HamtaIckeAktuellaOrdinationerResponder:6, HamtaIckeAktuellaOrdinationerResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.yrkeskod","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.yrkeskod","","","",0,1,"","","","string {[]} {[]}
","yrkeskod","Användarens yrkeskod som definierar vilken typ av legitimation som användaren innehar. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.ordinator.yrkeskod",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.originalformat","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.originalformat","","","",1,1,"","","","integer {[]} {[]}
","originalformat","Originalhandlingens ursprung. 0 = Pappersordination 1 = Telefonordination 2 = E-recept (NEF) (3 = Faxordination patient) 4 = Faxordination 5 = E-ordination 6 = Utskrivet från OR 7 = Utskriven E-ordination.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.originalformat",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.originalordinationsId","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.originalordinationsId","","","",1,1,"","","","string {[]} {[]}
","originalordinationsId","Unikt id för en ordination. Dock ej unikt för e-recept som tillhör receptsamling.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.originalordinationsId",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient","","","",1,1,"","","","BackboneElement {[]} {[]}
","patient","Den patient som ordinationen gäller för.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.efternamn","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.efternamn","","","",1,1,"","","","string {[]} {[]}
","efternamn","Patientens efternamn. Hämtas från första delen (före kommatecken) av patientens Rednamn som fås vid anrop mot FOLK.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.efternamn",1,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum","","","",0,1,"","","","BackboneElement {[]} {[]}
","fodelsedatum","Födelsedatum och kön för patienter som inte har fullständigt personnummer.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum.id","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum.extension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum.modifierExtension","hamtaickeaktuellaordinationer.ordinationKortInfolista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
